chr	rs	ps	n_mis	n_obs	allele1	allele0	af	beta	se	p_wald	p_lrt	p_score
0	nP35	0	0	2500	2	1	0.230	7.056547e-01	3.577349e-02	1.297766e-80	1.082892e-80	1.076058e-70
0	nP36	0	0	2500	2	1	0.010	2.528441e-01	1.996227e-01	2.054129e-01	2.051862e-01	2.053771e-01
0	nP41	0	0	2500	2	1	0.010	1.433780e+00	1.976155e-01	5.319115e-13	5.179799e-13	8.959074e-13
0	nP46	0	0	2500	2	1	0.150	-1.071915e+00	4.064873e-02	2.070866e-135	1.524616e-135	4.289045e-109
0	nP47	0	0	2500	1	2	0.460	-2.044017e-01	3.194305e-02	1.862002e-10	1.823680e-10	2.554718e-10
0	nP50	0	0	2500	2	1	0.010	-1.570609e+00	1.971987e-01	2.493881e-15	2.415780e-15	5.298540e-15
0	nP53	0	0	2500	2	1	0.010	-1.416641e+00	1.976650e-01	1.005662e-12	9.799352e-13	1.652423e-12
0	nP54	0	0	2500	2	1	0.050	3.178349e-01	9.296995e-02	6.393336e-04	6.353362e-04	6.549521e-04
0	nP61	0	0	2500	2	1	0.020	1.417418e+00	1.398160e-01	1.072567e-23	1.019386e-23	7.408109e-23
0	nP72	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP74	0	0	2500	2	1	0.090	-1.846854e+00	6.268645e-02	5.309092e-164	3.661935e-164	1.026837e-126
0	nP77	0	0	2500	2	1	0.010	1.433780e+00	1.976155e-01	5.319115e-13	5.179799e-13	8.959074e-13
0	nP81	0	0	2500	2	1	0.010	-1.531558e+00	1.973216e-01	1.212026e-14	1.175899e-14	2.394125e-14
0	nP90	0	0	2500	1	2	0.470	-3.440872e-01	2.941426e-02	8.177500e-31	7.646807e-31	2.327768e-29
0	nP97	0	0	2500	2	1	0.010	-1.314826e+00	1.979464e-01	3.775700e-11	3.692220e-11	5.450346e-11
0	nP102	0	0	2500	2	1	0.070	-1.057655e+00	5.875475e-02	3.241987e-68	2.783030e-68	4.885013e-61
0	nP108	0	0	2500	2	1	0.330	-5.907132e-01	3.016973e-02	1.566766e-79	1.310593e-79	7.228302e-70
0	nP116	0	0	2500	2	1	0.180	9.429197e-01	4.057078e-02	2.452249e-108	1.920547e-108	6.058701e-91
0	nP117	0	0	2500	2	1	0.030	9.775695e-01	1.160803e-01	6.177706e-17	5.962457e-17	1.578822e-16
0	nP120	0	0	2500	2	1	0.170	8.385460e-01	3.397237e-02	1.477961e-120	1.125639e-120	2.528195e-99
0	nP125	0	0	2500	2	1	0.310	7.600837e-01	2.833837e-02	1.762466e-139	1.285569e-139	1.074462e-111
0	nP129	0	0	2500	2	1	0.270	7.049440e-01	3.294929e-02	2.179483e-93	1.766257e-93	3.011309e-80
0	nP131	0	0	2500	2	1	0.020	6.223160e-01	1.421188e-01	1.242240e-05	1.229861e-05	1.329681e-05
0	nP133	0	0	2500	2	1	0.250	7.171702e-01	3.561907e-02	1.128743e-83	9.352840e-84	5.095619e-73
0	nP136	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP137	0	0	2500	2	1	0.030	1.268661e-01	1.176893e-01	2.811491e-01	2.809085e-01	2.810685e-01
0	nP147	0	0	2500	2	1	0.010	-1.577157e+00	1.971777e-01	1.905468e-15	1.845305e-15	4.100409e-15
0	nP150	0	0	2500	2	1	0.010	-1.449068e+00	1.975708e-01	2.994088e-13	2.914022e-13	5.159592e-13
0	nP155	0	0	2500	2	1	0.030	3.920230e-02	1.177140e-01	7.391396e-01	7.390138e-01	7.390446e-01
0	nP159	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP161	0	0	2500	2	1	0.190	6.903559e-01	4.004241e-02	5.058417e-63	4.394219e-63	7.120321e-57
0	nP162	0	0	2500	2	1	0.060	1.064188e+00	8.335255e-02	3.295827e-36	3.044181e-36	3.505257e-34
0	nP164	0	0	2500	2	1	0.160	2.279479e-01	4.107462e-02	3.164914e-08	3.115347e-08	3.783695e-08
0	nP166	0	0	2500	2	1	0.130	-9.996157e-01	3.989607e-02	8.735422e-124	6.604169e-124	1.743172e-101
0	nP172	0	0	2500	2	1	0.060	1.083995e+00	6.998122e-02	9.586272e-52	8.545228e-52	1.400592e-47
0	nP177	0	0	2500	2	1	0.150	8.971488e-01	3.761066e-02	1.806430e-113	1.398260e-113	1.674776e-94
0	nP181	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP187	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP190	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP191	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP195	0	0	2500	2	1	0.020	-9.328892e-02	1.426509e-01	5.131936e-01	5.129829e-01	5.130611e-01
0	nP200	0	0	2500	2	1	0.010	-1.548026e+00	1.972701e-01	6.252971e-15	6.062634e-15	1.272841e-14
0	nP202	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP205	0	0	2500	2	1	0.180	-9.910109e-01	3.204381e-02	4.334989e-178	2.895614e-178	7.238174e-135
0	nP210	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP214	0	0	2500	2	1	0.030	4.748775e-01	1.173326e-01	5.339157e-05	5.293325e-05	5.607919e-05
0	nP219	0	0	2500	2	1	0.080	3.619690e-01	6.654994e-02	5.876613e-08	5.788056e-08	6.928360e-08
0	nP224	0	0	2500	2	1	0.060	3.590973e-01	6.449261e-02	2.851449e-08	2.806506e-08	3.417149e-08
0	nP226	0	0	2500	2	1	0.030	1.422141e+00	1.142259e-01	1.446791e-34	1.341350e-34	1.007731e-32
0	nP231	0	0	2500	2	1	0.080	9.836200e-01	5.707854e-02	5.712940e-63	4.963401e-63	7.856650e-57
0	nP238	0	0	2500	2	1	0.030	-1.336321e+00	1.146400e-01	1.296211e-30	1.212645e-30	3.527844e-29
0	nP242	0	0	2500	2	1	0.020	-1.606672e+00	1.389942e-01	3.818994e-30	3.576617e-30	9.366325e-29
0	nP246	0	0	2500	2	1	0.110	-1.006999e+00	5.196501e-02	4.752132e-78	3.988634e-78	9.928429e-69
0	nP250	0	0	2500	2	1	0.010	2.528441e-01	1.996227e-01	2.054129e-01	2.051862e-01	2.053771e-01
0	nP254	0	0	2500	2	1	0.310	7.840639e-01	2.908705e-02	1.072479e-140	7.801153e-141	1.821296e-112
0	nP259	0	0	2500	2	1	0.120	1.009455e+00	4.665355e-02	2.648453e-95	2.136932e-95	1.201795e-81
0	nP265	0	0	2500	2	1	0.010	-1.539192e+00	1.972978e-01	8.926025e-15	8.657355e-15	1.787687e-14
0	nP266	0	0	2500	2	1	0.050	1.730581e+00	8.651547e-02	1.097885e-82	9.117732e-83	2.851521e-72
0	nP271	0	0	2500	2	1	0.270	-7.008517e-01	3.176022e-02	9.825115e-99	7.865564e-99	3.938718e-84
0	nP276	0	0	2500	2	1	0.050	1.204962e+00	9.001451e-02	1.617597e-39	1.482828e-39	4.275239e-37
0	nP278	0	0	2500	2	1	0.060	1.649121e+00	7.944997e-02	2.032794e-88	1.666208e-88	1.408108e-76
0	nP284	0	0	2500	2	1	0.010	-1.550201e+00	1.972633e-01	5.726758e-15	5.551958e-15	1.170446e-14
0	nP289	0	0	2500	2	1	0.050	1.024410e+00	7.477830e-02	3.052824e-41	2.787469e-41	1.336197e-38
0	nP295	0	0	2500	2	1	0.190	-7.048700e-01	3.475306e-02	8.610275e-85	7.116317e-85	7.312551e-74
0	nP304	0	0	2500	2	1	0.010	-1.542197e+00	1.972884e-01	7.910120e-15	7.671115e-15	1.592950e-14
0	nP308	0	0	2500	2	1	0.390	1.137804e+00	1.998714e-02	0.000000e+00	0.000000e+00	2.633384e-245
0	nP312	0	0	2500	2	1	0.010	2.195172e+00	1.947967e-01	9.113379e-29	8.561882e-29	1.661778e-27
0	nP313	0	0	2500	2	1	0.250	-7.231193e-01	3.038664e-02	5.399348e-113	4.183889e-113	3.558283e-94
0	nP317	0	0	2500	2	1	0.290	8.789757e-01	3.139302e-02	2.869956e-150	2.042500e-150	1.941857e-118
0	nP321	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP324	0	0	2500	2	1	0.110	-1.326371e+00	4.901060e-02	1.137939e-141	8.258930e-142	4.412597e-113
0	nP328	0	0	2500	2	1	0.070	8.834471e-01	5.989567e-02	2.836048e-47	2.554053e-47	8.504638e-44
0	nP330	0	0	2500	2	1	0.150	3.772466e-01	4.533560e-02	1.413900e-16	1.365751e-16	3.461058e-16
0	nP335	0	0	2500	2	1	0.090	1.055604e+00	5.466062e-02	1.457880e-77	1.225014e-77	2.354435e-68
0	nP337	0	0	2500	2	1	0.020	1.602725e+00	1.390125e-01	5.313569e-30	4.977968e-30	1.262772e-28
0	nP341	0	0	2500	2	1	0.020	-1.428812e+00	1.397695e-01	4.641395e-24	4.407606e-24	3.415225e-23
0	nP342	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP344	0	0	2500	2	1	0.020	5.591557e-01	1.422238e-01	8.670627e-05	8.600165e-05	9.056319e-05
0	nP348	0	0	2500	2	1	0.350	7.673523e-01	2.614854e-02	6.691282e-163	4.626887e-163	4.597221e-126
0	nP353	0	0	2500	2	1	0.040	6.494157e-01	1.022253e-01	2.504269e-10	2.453440e-10	3.405082e-10
0	nP356	0	0	2500	2	1	0.050	1.514413e+00	8.812343e-02	1.191426e-62	1.035867e-62	1.424138e-56
0	nP361	0	0	2500	2	1	0.100	7.199703e-01	5.521716e-02	1.209888e-37	1.113849e-37	1.891836e-35
0	nP365	0	0	2500	2	1	0.110	-1.323522e+00	4.904142e-02	5.484860e-141	3.987007e-141	1.191665e-112
0	nP371	0	0	2500	2	1	0.020	-1.256986e+00	1.404289e-01	6.709222e-19	6.446602e-19	2.208205e-18
0	nP374	0	0	2500	2	1	0.030	1.428307e+00	1.141951e-01	7.344306e-35	6.804480e-35	5.511046e-33
0	nP377	0	0	2500	2	1	0.110	1.015704e+00	4.761521e-02	6.856486e-93	5.562836e-93	6.977428e-80
0	nP381	0	0	2500	2	1	0.010	1.461386e+00	1.975345e-01	1.876029e-13	1.825022e-13	3.294748e-13
0	nP385	0	0	2500	2	1	0.130	7.300496e-01	5.153401e-02	7.062561e-44	6.409917e-44	6.952795e-41
0	nP388	0	0	2500	2	1	0.010	1.208622e+00	1.982172e-01	1.244896e-09	1.221541e-09	1.615751e-09
0	nP393	0	0	2500	2	1	0.200	9.131443e-01	4.025005e-02	9.220390e-104	7.297104e-104	1.006305e-87
0	nP395	0	0	2500	2	1	0.020	1.407141e+00	1.398575e-01	2.269186e-23	2.158275e-23	1.482266e-22
0	nP404	0	0	2500	2	1	0.100	-1.088140e+00	4.813771e-02	4.321398e-103	3.425243e-103	3.011897e-87
0	nP408	0	0	2500	2	1	0.010	-7.982058e-02	1.996804e-01	6.893810e-01	6.892337e-01	6.892726e-01
0	nP410	0	0	2500	2	1	0.240	-8.209205e-01	3.055061e-02	6.324886e-140	4.608784e-140	5.606315e-112
0	nP414	0	0	2500	2	1	0.030	1.476022e+00	1.139520e-01	3.462195e-37	3.190701e-37	4.781425e-35
0	nP415	0	0	2500	2	1	0.010	1.395828e+00	1.977242e-01	2.157054e-12	2.103448e-12	3.443408e-12
0	nP419	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP422	0	0	2500	2	1	0.010	-1.314826e+00	1.979464e-01	3.775700e-11	3.692220e-11	5.450346e-11
0	nP426	0	0	2500	2	1	0.030	-8.766663e-02	1.177036e-01	4.564575e-01	4.562322e-01	4.563273e-01
0	nP431	0	0	2500	2	1	0.060	5.341316e-01	7.248141e-02	2.320440e-13	2.257823e-13	4.040100e-13
0	nP438	0	0	2500	2	1	0.030	1.439405e+00	1.141393e-01	2.150035e-35	1.989574e-35	1.849317e-33
0	nP443	0	0	2500	2	1	0.220	-8.454906e-01	2.919668e-02	3.089281e-159	2.154092e-159	7.004173e-124
0	nP450	0	0	2500	2	1	0.320	6.479973e-01	3.273635e-02	3.993260e-81	3.328188e-81	4.379731e-71
0	nP454	0	0	2500	2	1	0.190	-9.677934e-01	3.061455e-02	8.718142e-185	5.735288e-185	1.258055e-138
0	nP456	0	0	2500	2	1	0.010	1.482298e+00	1.974721e-01	8.406230e-14	8.171222e-14	1.526324e-13
0	nP458	0	0	2500	2	1	0.030	1.374360e+00	1.144599e-01	2.479045e-32	2.310137e-32	1.001332e-30
0	nP463	0	0	2500	2	1	0.040	-1.640614e+00	9.767974e-02	4.569012e-60	3.996011e-60	1.797026e-54
0	nP470	0	0	2500	2	1	0.400	7.317397e-01	2.449005e-02	5.553035e-168	3.795611e-168	4.723547e-129
0	nP476	0	0	2500	2	1	0.120	1.076602e+00	4.604866e-02	1.727450e-109	1.349343e-109	9.520258e-92
0	nP479	0	0	2500	2	1	0.040	1.002644e+00	8.048212e-02	1.320675e-34	1.224315e-34	9.291165e-33
0	nP483	0	0	2500	2	1	0.160	-8.375633e-01	4.229591e-02	3.479038e-81	2.899212e-81	3.943027e-71
0	nP488	0	0	2500	2	1	0.180	8.208564e-01	3.246567e-02	8.854300e-126	6.663631e-126	8.258160e-103
0	nP490	0	0	2500	2	1	0.060	-1.256967e+00	6.881331e-02	4.570289e-70	3.906710e-70	1.667705e-62
0	nP496	0	0	2500	2	1	0.210	-8.575870e-01	3.033015e-02	7.830277e-153	5.540189e-153	5.214807e-120
0	nP500	0	0	2500	2	1	0.110	-1.007258e+00	4.416722e-02	9.794944e-105	7.734579e-105	2.058063e-88
0	nP506	0	0	2500	2	1	0.220	6.180646e-01	3.649352e-02	5.408525e-61	4.720221e-61	3.154166e-55
0	nP511	0	0	2500	2	1	0.140	9.416012e-01	3.988926e-02	2.227226e-111	1.732232e-111	4.641941e-93
0	nP519	0	0	2500	1	2	0.490	-1.162990e-01	3.242377e-02	3.411318e-04	3.387987e-04	3.513804e-04
0	nP523	0	0	2500	2	1	0.070	1.157345e+00	6.585041e-02	2.752248e-65	2.378508e-65	1.067278e-58
0	nP531	0	0	2500	2	1	0.210	9.485078e-01	3.203981e-02	2.349257e-165	1.615403e-165	1.634421e-127
0	nP534	0	0	2500	2	1	0.490	3.579346e-01	3.264729e-02	2.374322e-27	2.237861e-27	3.239047e-26
0	nP539	0	0	2500	2	1	0.020	1.387393e+00	1.399365e-01	9.422704e-23	8.974791e-23	5.548220e-22
0	nP540	0	0	2500	2	1	0.130	-1.006025e+00	5.438546e-02	1.060996e-71	9.035610e-72	8.599116e-64
0	nP544	0	0	2500	2	1	0.170	1.089503e+00	4.235696e-02	1.234308e-129	9.207827e-130	2.392076e-105
0	nP548	0	0	2500	2	1	0.170	-8.822296e-01	3.518348e-02	5.893446e-124	4.453834e-124	1.341236e-101
0	nP550	0	0	2500	2	1	0.080	-1.131053e+00	5.597456e-02	3.221509e-84	2.666041e-84	1.976998e-73
0	nP553	0	0	2500	2	1	0.010	2.528441e-01	1.996227e-01	2.054129e-01	2.051862e-01	2.053771e-01
0	nP555	0	0	2500	2	1	0.360	-2.630979e-01	3.248637e-02	8.589732e-16	8.311990e-16	1.920844e-15
0	nP558	0	0	2500	2	1	0.470	-1.377786e-01	3.081735e-02	8.140273e-06	8.055891e-06	8.766337e-06
0	nP563	0	0	2500	2	1	0.010	-1.550201e+00	1.972633e-01	5.726758e-15	5.551958e-15	1.170446e-14
0	nP568	0	0	2500	2	1	0.010	8.508717e-01	1.989598e-01	1.969003e-05	1.950242e-05	2.094333e-05
0	nP573	0	0	2500	2	1	0.150	6.390237e-01	5.031418e-02	7.347468e-36	6.791871e-36	7.132394e-34
0	nP576	0	0	2500	2	1	0.030	-1.004125e+00	1.159896e-01	8.526429e-18	8.213275e-18	2.425458e-17
0	nP581	0	0	2500	2	1	0.050	7.765377e-01	6.599951e-02	3.825466e-31	3.574511e-31	1.173313e-29
0	nP585	0	0	2500	2	1	0.170	8.385460e-01	3.397237e-02	1.477961e-120	1.125639e-120	2.528195e-99
0	cM4	0	0	2500	1	2	0.260	-3.360259e-01	3.114999e-02	1.504327e-26	1.420465e-26	1.752644e-25
0	cM6	0	0	2500	2	1	0.020	-1.874986e-01	9.977291e-02	6.032625e-02	6.019789e-02	6.040486e-02
0	cM8	0	0	2500	2	1	0.480	4.513132e-01	2.648132e-02	1.063660e-61	9.267968e-62	8.405231e-56
0	cM11	0	0	2500	2	1	0.220	4.034068e-01	3.276385e-02	7.285394e-34	6.765287e-34	4.259463e-32
0	cM14	0	0	2500	2	1	0.020	-3.173679e-01	9.964128e-02	1.464842e-03	1.456812e-03	1.491150e-03
0	cM17	0	0	2500	2	1	0.040	-1.113581e-01	7.129677e-02	1.184394e-01	1.182553e-01	1.184718e-01
0	cM22	0	0	2500	1	2	0.140	-2.527976e-01	3.996535e-02	2.982674e-10	2.922635e-10	4.034306e-10
0	cM23	0	0	2500	1	2	0.140	-2.690313e-01	3.992290e-02	1.976176e-11	1.931258e-11	2.915236e-11
0	cM29	0	0	2500	1	2	0.340	1.829523e-01	2.927982e-02	4.859426e-10	4.763881e-10	6.478536e-10
0	cM33	0	0	2500	2	1	0.160	-3.309326e-01	3.754901e-02	2.228239e-18	2.143559e-18	6.837813e-18
0	cM38	0	0	2500	1	2	0.440	-1.873816e-01	2.790895e-02	2.335136e-11	2.282431e-11	3.425354e-11
0	cM40	0	0	2500	2	1	0.040	-2.203515e-01	7.119520e-02	1.989714e-03	1.979370e-03	2.021221e-03
0	cM42	0	0	2500	2	1	0.020	3.356515e-01	9.961729e-02	7.647301e-04	7.600764e-04	7.822746e-04
0	cM47	0	0	2500	2	1	0.340	8.861452e-02	2.945443e-02	2.651370e-03	2.638290e-03	2.688413e-03
0	nM1	0	0	2500	2	1	0.180	3.854501e-01	3.555674e-02	8.654464e-27	8.167523e-27	1.056565e-25
0	nM4	0	0	2500	2	1	0.160	-1.998641e-01	3.791805e-02	1.473378e-07	1.452470e-07	1.703296e-07
0	nM6	0	0	2500	2	1	0.040	-2.626388e-01	7.113775e-02	2.272842e-04	2.256432e-04	2.350131e-04
0	nM9	0	0	2500	2	1	0.380	2.030424e-01	2.850985e-02	1.386766e-12	1.351716e-12	2.250845e-12
0	nM10	0	0	2500	2	1	0.360	-2.772907e-01	2.858761e-02	7.311047e-22	6.977646e-22	3.726297e-21
0	nM14	0	0	2500	2	1	0.320	2.377900e-01	2.958515e-02	1.400311e-15	1.355686e-15	3.058114e-15
0	nM15	0	0	2500	2	1	0.040	-2.511014e-02	7.132981e-02	7.248464e-01	7.247144e-01	7.247473e-01
0	nM21	0	0	2500	2	1	0.080	-1.639773e-01	5.141931e-02	1.445223e-03	1.437283e-03	1.471319e-03
0	nM22	0	0	2500	2	1	0.360	3.996739e-02	2.911001e-02	1.698826e-01	1.696691e-01	1.698728e-01
0	nM25	0	0	2500	2	1	0.320	-3.106263e-01	2.931365e-02	1.075032e-25	1.017082e-25	1.064256e-24
0	nM26	0	0	2500	1	2	0.320	-3.016188e-01	2.935128e-02	2.727732e-24	2.588972e-24	2.090444e-23
0	nM28	0	0	2500	2	1	0.020	2.001977e-01	9.976303e-02	4.488578e-02	4.477875e-02	4.497252e-02
0	nM32	0	0	2500	2	1	0.020	-1.629506e-01	9.979016e-02	1.026092e-01	1.024374e-01	1.026550e-01
0	nM33	0	0	2500	2	1	0.320	-3.274407e-01	2.924030e-02	1.953988e-28	1.837131e-28	3.324776e-27
0	nM37	0	0	2500	2	1	0.240	3.084398e-01	3.214209e-02	1.934882e-21	1.848425e-21	9.227554e-21
0	nM40	0	0	2500	2	1	0.080	-2.549248e-01	5.127079e-02	7.071397e-07	6.981643e-07	7.928607e-07
0	nM42	0	0	2500	2	1	0.040	-2.232377e-01	7.119160e-02	1.734196e-03	1.724960e-03	1.763280e-03
0	nM44	0	0	2500	2	1	0.200	-3.457072e-01	3.425380e-02	1.671390e-23	1.589217e-23	1.116806e-22
0	nM45	0	0	2500	2	1	0.240	-2.236509e-01	3.242183e-02	6.651152e-12	6.493033e-12	1.019066e-11
0	nM49	0	0	2500	2	1	0.020	3.938062e-01	9.953202e-02	7.814944e-05	7.750669e-05	8.172118e-05
0	nM52	0	0	2500	2	1	0.020	-6.877388e-04	9.984341e-02	9.945046e-01	9.945019e-01	9.945024e-01
0	nM53	0	0	2500	2	1	0.120	3.152320e-01	4.254964e-02	1.737074e-13	1.689718e-13	3.060339e-13
0	nM56	0	0	2500	2	1	0.040	-1.832027e-01	7.123733e-02	1.017672e-02	1.013901e-02	1.024640e-02
0	nM58	0	0	2500	2	1	0.020	3.896183e-01	9.953862e-02	9.311362e-05	9.236318e-05	9.717848e-05
0	nM60	0	0	2500	2	1	0.020	2.679058e-01	9.969942e-02	7.254545e-03	7.225440e-03	7.315440e-03
0	nM61	0	0	2500	2	1	0.300	1.512621e-01	3.035215e-02	6.669322e-07	6.584299e-07	7.485839e-07
0	nM64	0	0	2500	2	1	0.260	9.673534e-02	3.180844e-02	2.380977e-03	2.368994e-03	2.415870e-03
0	nM66	0	0	2500	2	1	0.080	5.548708e-02	5.151191e-02	2.815084e-01	2.812677e-01	2.814276e-01
0	nM67	0	0	2500	2	1	0.100	-2.407607e-01	4.634391e-02	2.211491e-07	2.180967e-07	2.535526e-07
0	nM70	0	0	2500	1	2	0.180	7.840404e-02	3.634965e-02	3.110538e-02	3.102121e-02	3.119469e-02
0	nM72	0	0	2500	2	1	0.200	3.022372e-01	3.441799e-02	2.937442e-18	2.826582e-18	8.872616e-18
0	nM79	0	0	2500	2	1	0.040	2.478165e-01	7.115904e-02	5.051536e-04	5.018842e-04	5.185209e-04
0	nM82	0	0	2500	2	1	0.080	-2.549248e-01	5.127079e-02	7.071397e-07	6.981643e-07	7.928607e-07
0	nM86	0	0	2500	2	1	0.020	3.894182e-01	9.953893e-02	9.389233e-05	9.313635e-05	9.798217e-05
0	nM91	0	0	2500	2	1	0.180	-9.532579e-02	3.633346e-02	8.752584e-03	8.718960e-03	8.818367e-03
0	nM95	0	0	2500	2	1	0.020	-1.757293e-01	9.978148e-02	7.833685e-02	7.818773e-02	7.840253e-02
0	nM97	0	0	2500	1	2	0.280	9.803314e-02	3.106980e-02	1.622660e-03	1.613919e-03	1.650625e-03
0	nM99	0	0	2500	2	1	0.020	-1.874986e-01	9.977291e-02	6.032625e-02	6.019789e-02	6.040486e-02
0	nM101	0	0	2500	2	1	0.180	1.752282e-01	3.621417e-02	1.386741e-06	1.370031e-06	1.536291e-06
0	nM102	0	0	2500	2	1	0.020	3.023865e-01	9.965993e-02	2.436722e-03	2.424511e-03	2.472070e-03
0	nM103	0	0	2500	2	1	0.340	-3.072528e-02	2.950134e-02	2.977501e-01	2.975084e-01	2.976617e-01
0	nM106	0	0	2500	2	1	0.380	3.107452e-01	2.811866e-02	9.402589e-28	8.854054e-28	1.390853e-26
0	nM107	0	0	2500	2	1	0.040	-3.202111e-01	7.104328e-02	6.869441e-06	6.797124e-06	7.416383e-06
0	nM110	0	0	2500	2	1	0.040	-2.810268e-01	7.110962e-02	7.964349e-05	7.898989e-05	8.326568e-05
0	nM112	0	0	2500	2	1	0.020	4.456939e-01	9.944438e-02	7.733838e-06	7.653293e-06	8.334925e-06
0	nM115	0	0	2500	1	2	0.040	-2.546078e-01	7.114944e-02	3.521564e-04	3.497584e-04	3.626309e-04
0	nM118	0	0	2500	2	1	0.020	-3.755523e-01	9.956026e-02	1.656323e-04	1.643872e-04	1.718067e-04
0	nM121	0	0	2500	2	1	0.420	-2.894429e-01	2.772259e-02	5.244529e-25	4.969616e-25	4.571324e-24
0	nM127	0	0	2500	2	1	0.360	3.929814e-01	2.803942e-02	5.122797e-43	4.658565e-43	3.850410e-40
0	nM131	0	0	2500	1	2	0.460	3.949890e-01	2.690956e-02	7.487847e-47	6.749819e-47	1.947214e-43
0	nM132	0	0	2500	2	1	0.040	3.556835e-01	7.097569e-02	5.783355e-07	5.708839e-07	6.508564e-07
0	nM133	0	0	2500	2	1	0.100	3.481813e-01	4.606986e-02	5.723601e-14	5.561486e-14	1.056297e-13
0	nM137	0	0	2500	2	1	0.160	1.380326e-01	3.802818e-02	2.893987e-04	2.873748e-04	2.985483e-04
0	nM142	0	0	2500	2	1	0.040	-3.202111e-01	7.104328e-02	6.869441e-06	6.797124e-06	7.416383e-06
0	nM145	0	0	2500	2	1	0.020	-2.531665e-01	9.971484e-02	1.118019e-02	1.113972e-02	1.125226e-02
0	nM146	0	0	2500	2	1	0.060	-2.981886e-01	5.855516e-02	3.798510e-07	3.748044e-07	4.309006e-07
0	nM147	0	0	2500	2	1	0.020	3.896183e-01	9.953862e-02	9.311362e-05	9.236318e-05	9.717848e-05
0	nM151	0	0	2500	2	1	0.140	-3.469796e-01	3.968143e-02	4.047817e-18	3.896284e-18	1.200572e-17
