chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
0	nP238	0	0	2	1	0.030	1.968908e-02	1.465592e-01	3.626832e+03	6.361711e+02	6.299455e+02	8.931428e-01	8.925936e-01	8.926094e-01
0	nP242	0	0	2	1	0.020	-5.645437e-02	1.557765e-01	3.626890e+03	6.354258e+02	6.292112e+02	7.170791e-01	7.157521e-01	7.158747e-01
0	nP246	0	0	2	1	0.110	-3.656847e-02	1.033036e-01	3.626886e+03	6.354692e+02	6.292483e+02	7.233761e-01	7.220685e-01	7.221846e-01
0	nP250	0	0	2	1	0.010	-2.829647e-01	2.992170e-01	3.627273e+03	6.304806e+02	6.243075e+02	3.444013e-01	3.429442e-01	3.441409e-01
0	nP254	0	0	2	1	0.310	1.196768e-01	1.177869e-01	3.627342e+03	6.295851e+02	6.234191e+02	3.097062e-01	3.084089e-01	3.097887e-01
0	nP259	0	0	2	1	0.120	1.596448e-01	1.222634e-01	3.627677e+03	6.252880e+02	6.191635e+02	1.917595e-01	1.913011e-01	1.933591e-01
0	nP265	0	0	2	1	0.010	-4.661204e-02	2.055688e-01	3.626849e+03	6.359497e+02	6.297281e+02	8.206393e-01	8.197384e-01	8.197805e-01
0	nP266	0	0	2	1	0.050	4.166790e-01	2.213435e-01	3.628581e+03	6.138448e+02	6.078320e+02	5.988431e-02	6.076339e-02	6.321640e-02
0	nP271	0	0	2	1	0.270	-2.093197e-01	1.211776e-01	3.628308e+03	6.172970e+02	6.112524e+02	8.422325e-02	8.486637e-02	8.736192e-02
0	nP276	0	0	2	1	0.050	1.401555e-01	1.754350e-01	3.627145e+03	6.321296e+02	6.259388e+02	4.244227e-01	4.227297e-01	4.235669e-01
0	nP278	0	0	2	1	0.060	3.780416e-01	1.680692e-01	3.629315e+03	6.047129e+02	5.987957e+02	2.457884e-02	2.560402e-02	2.761153e-02
0	nP284	0	0	2	1	0.010	-3.068175e-03	1.744527e-01	3.626823e+03	6.362781e+02	6.300600e+02	9.859694e-01	9.858912e-01	9.858926e-01
0	nP289	0	0	2	1	0.050	1.440971e-02	1.255550e-01	3.626830e+03	6.362043e+02	6.299761e+02	9.086381e-01	9.081622e-01	9.081746e-01
0	nP295	0	0	2	1	0.190	-8.151416e-02	8.722421e-02	3.627262e+03	6.306074e+02	6.244331e+02	3.501178e-01	3.486376e-01	3.498090e-01
0	nP304	0	0	2	1	0.010	8.703152e-03	1.872042e-01	3.626824e+03	6.362691e+02	6.300485e+02	9.629233e-01	9.627336e-01	9.627375e-01
0	nP308	0	0	2	1	0.390	3.260176e-02	1.069756e-01	3.626870e+03	6.356776e+02	6.294521e+02	7.605752e-01	7.594010e-01	7.594835e-01
0	nP312	0	0	2	1	0.010	1.158886e+00	2.972993e-01	3.633954e+03	5.501021e+02	5.447163e+02	9.952441e-05	1.590672e-04	2.747632e-04
0	nP313	0	0	2	1	0.250	-2.129984e-01	1.407245e-01	3.627967e+03	6.215881e+02	6.155008e+02	1.302578e-01	1.304114e-01	1.327913e-01
0	nP317	0	0	2	1	0.290	-7.509568e-02	1.005482e-01	3.627104e+03	6.326544e+02	6.264594e+02	4.552166e-01	4.534803e-01	4.541974e-01
0	nP321	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP324	0	0	2	1	0.110	-4.885144e-02	1.176460e-01	3.626910e+03	6.351523e+02	6.289386e+02	6.780013e-01	6.765355e-01	6.767079e-01
0	nP328	0	0	2	1	0.070	-4.013195e-02	1.287878e-01	3.626872e+03	6.356578e+02	6.294327e+02	7.553606e-01	7.541783e-01	7.542638e-01
0	nP330	0	0	2	1	0.150	-5.502696e-02	1.358246e-01	3.626906e+03	6.352200e+02	6.289981e+02	6.854148e-01	6.839768e-01	6.841379e-01
0	nP335	0	0	2	1	0.090	1.861026e-02	1.266307e-01	3.626834e+03	6.361495e+02	6.299210e+02	8.831716e-01	8.825668e-01	8.825853e-01
0	nP337	0	0	2	1	0.020	3.908732e-01	2.614551e-01	3.627939e+03	6.219533e+02	6.158623e+02	1.350429e-01	1.351432e-01	1.374979e-01
0	nP341	0	0	2	1	0.020	-6.769201e-02	1.581182e-01	3.626916e+03	6.350878e+02	6.288733e+02	6.686078e-01	6.671181e-01	6.673029e-01
0	nP342	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP344	0	0	2	1	0.020	9.948065e-02	2.432227e-01	3.626908e+03	6.351973e+02	6.289773e+02	6.825670e-01	6.811198e-01	6.812848e-01
0	nP348	0	0	2	1	0.350	3.715780e-01	1.301970e-01	3.630774e+03	5.869773e+02	5.812278e+02	4.353268e-03	4.938904e-03	5.907325e-03
0	nP353	0	0	2	1	0.040	-1.589013e-01	1.846372e-01	3.627196e+03	6.314744e+02	6.252909e+02	3.895334e-01	3.879220e-01	3.889046e-01
0	nP356	0	0	2	1	0.050	9.584091e-02	1.429204e-01	3.627050e+03	6.333519e+02	6.271534e+02	5.025441e-01	5.007847e-01	5.013419e-01
0	nP361	0	0	2	1	0.100	-1.723268e-01	1.117262e-01	3.628011e+03	6.210654e+02	6.149834e+02	1.231023e-01	1.233274e-01	1.257281e-01
0	nP365	0	0	2	1	0.110	-9.287472e-02	1.177592e-01	3.627136e+03	6.322309e+02	6.260438e+02	4.303721e-01	4.286704e-01	4.294834e-01
0	nP371	0	0	2	1	0.020	8.393563e-02	1.595192e-01	3.626963e+03	6.344791e+02	6.282707e+02	5.988106e-01	5.971505e-01	5.974580e-01
0	nP374	0	0	2	1	0.030	3.162072e-02	1.551437e-01	3.626844e+03	6.360163e+02	6.297919e+02	8.385141e-01	8.376950e-01	8.377289e-01
0	nP377	0	0	2	1	0.110	1.060451e-01	1.167414e-01	3.627238e+03	6.309182e+02	6.247420e+02	3.637672e-01	3.622367e-01	3.633414e-01
0	nP381	0	0	2	1	0.010	-1.964085e-01	3.115977e-01	3.627024e+03	6.337018e+02	6.274969e+02	5.285382e-01	5.267886e-01	5.272668e-01
0	nP385	0	0	2	1	0.130	-3.724840e-02	1.032505e-01	3.626889e+03	6.354412e+02	6.292188e+02	7.183112e-01	7.169870e-01	7.171082e-01
0	nP388	0	0	2	1	0.010	-1.025310e-01	2.752691e-01	3.626893e+03	6.353825e+02	6.291622e+02	7.095705e-01	7.082141e-01	7.083453e-01
0	nP393	0	0	2	1	0.200	1.110664e-01	1.045682e-01	3.627390e+03	6.289702e+02	6.228105e+02	2.882734e-01	2.870943e-01	2.885912e-01
0	nP395	0	0	2	1	0.020	6.708304e-02	1.916864e-01	3.626885e+03	6.354875e+02	6.292664e+02	7.263963e-01	7.250994e-01	7.252125e-01
0	nP404	0	0	2	1	0.100	-2.455906e-02	8.465218e-02	3.626866e+03	6.357356e+02	6.295149e+02	7.717506e-01	7.706335e-01	7.707062e-01
0	nP408	0	0	2	1	0.010	-3.004490e-01	2.793952e-01	3.627404e+03	6.287907e+02	6.226347e+02	2.823197e-01	2.811765e-01	2.827054e-01
0	nP410	0	0	2	1	0.240	-2.446779e-01	1.312889e-01	3.628547e+03	6.142588e+02	6.082438e+02	6.248660e-02	6.334587e-02	6.581328e-02
0	nP414	0	0	2	1	0.030	9.531405e-02	1.691878e-01	3.626983e+03	6.342157e+02	6.280069e+02	5.732387e-01	5.715332e-01	5.718979e-01
0	nP415	0	0	2	1	0.010	1.471029e-01	2.345587e-01	3.627022e+03	6.337203e+02	6.275179e+02	5.306198e-01	5.288704e-01	5.293442e-01
0	nP419	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP422	0	0	2	1	0.010	-6.510208e-02	2.104794e-01	3.626872e+03	6.356596e+02	6.294402e+02	7.571162e-01	7.559391e-01	7.560234e-01
0	nP426	0	0	2	1	0.030	-4.265436e-01	2.245236e-01	3.628613e+03	6.134502e+02	6.074424e+02	5.757814e-02	5.847590e-02	6.091641e-02
0	nP431	0	0	2	1	0.060	1.725538e-02	1.316675e-01	3.626832e+03	6.361803e+02	6.299503e+02	8.957442e-01	8.952041e-01	8.952194e-01
0	nP438	0	0	2	1	0.030	1.163954e-01	1.821625e-01	3.627029e+03	6.336228e+02	6.274191e+02	5.229043e-01	5.211488e-01	5.216453e-01
0	nP443	0	0	2	1	0.220	-8.068778e-01	2.170231e-01	3.633351e+03	5.568755e+02	5.514163e+02	2.052739e-04	3.024255e-04	4.804107e-04
0	nP450	0	0	2	1	0.320	9.803491e-02	9.750815e-02	3.627331e+03	6.297238e+02	6.235573e+02	3.148006e-01	3.134776e-01	3.148298e-01
0	nP454	0	0	2	1	0.190	-3.356659e-01	1.890258e-01	3.628391e+03	6.162299e+02	6.101983e+02	7.589294e-02	7.662462e-02	7.912190e-02
0	nP456	0	0	2	1	0.010	-1.315580e-01	3.015111e-01	3.626919e+03	6.350480e+02	6.288304e+02	6.626358e-01	6.611306e-01	6.613235e-01
0	nP458	0	0	2	1	0.030	-5.755468e-02	1.864806e-01	3.626871e+03	6.356690e+02	6.294451e+02	7.576240e-01	7.564517e-01	7.565352e-01
0	nP463	0	0	2	1	0.040	-1.584093e-02	1.192857e-01	3.626832e+03	6.361703e+02	6.299470e+02	8.943636e-01	8.938158e-01	8.938314e-01
0	nP470	0	0	2	1	0.400	7.727475e-01	2.058680e-01	3.633469e+03	5.555506e+02	5.501056e+02	1.782818e-04	2.666886e-04	4.303925e-04
0	nP476	0	0	2	1	0.120	2.027337e-01	1.584626e-01	3.627643e+03	6.257235e+02	6.195972e+02	2.008826e-01	2.003429e-01	2.023462e-01
0	nP479	0	0	2	1	0.040	-5.437499e-02	1.570268e-01	3.626884e+03	6.355106e+02	6.292870e+02	7.291626e-01	7.278809e-01	7.279903e-01
0	nP483	0	0	2	1	0.160	-3.911355e-02	9.741620e-02	3.626905e+03	6.352313e+02	6.290127e+02	6.880792e-01	6.866458e-01	6.868043e-01
0	nP488	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP490	0	0	2	1	0.060	-5.732165e-02	1.132707e-01	3.626952e+03	6.346132e+02	6.284012e+02	6.128600e-01	6.112253e-01	6.115053e-01
0	nP496	0	0	2	1	0.210	-3.500118e-01	1.640769e-01	3.629070e+03	6.077367e+02	6.017819e+02	3.300408e-02	3.403906e-02	3.622785e-02
0	nP500	0	0	2	1	0.110	-3.431575e-02	9.074358e-02	3.626895e+03	6.353516e+02	6.291336e+02	7.053425e-01	7.039709e-01	7.041071e-01
0	nP506	0	0	2	1	0.220	1.626662e-01	1.176848e-01	3.627779e+03	6.239962e+02	6.178841e+02	1.670281e-01	1.668016e-01	1.689958e-01
0	nP511	0	0	2	1	0.140	2.118104e-01	1.500792e-01	3.627819e+03	6.234752e+02	6.173707e+02	1.582735e-01	1.581356e-01	1.603784e-01
0	nP519	0	0	1	2	0.490	-4.055505e-02	8.251891e-02	3.626945e+03	6.347097e+02	6.284938e+02	6.231417e-01	6.215278e-01	6.217886e-01
0	nP523	0	0	2	1	0.070	-6.972588e-03	1.291275e-01	3.626825e+03	6.362725e+02	6.300436e+02	9.569413e-01	9.567195e-01	9.567241e-01
0	nP531	0	0	2	1	0.210	2.457755e-01	1.175481e-01	3.628983e+03	6.088128e+02	6.028461e+02	3.664221e-02	3.766882e-02	3.991584e-02
0	nP534	0	0	2	1	0.490	-5.808093e-02	7.675033e-02	3.627112e+03	6.325584e+02	6.263640e+02	4.492701e-01	4.475404e-01	4.482794e-01
0	nP539	0	0	2	1	0.020	7.500697e-02	1.775905e-01	3.626913e+03	6.351218e+02	6.289054e+02	6.727993e-01	6.713223e-01	6.715008e-01
0	nP540	0	0	2	1	0.130	-1.214268e-01	1.081639e-01	3.627456e+03	6.281146e+02	6.219654e+02	2.617073e-01	2.606968e-01	2.623470e-01
0	nP544	0	0	2	1	0.170	1.602400e-01	1.243456e-01	3.627655e+03	6.255717e+02	6.194454e+02	1.976332e-01	1.971219e-01	1.991448e-01
0	nP548	0	0	2	1	0.170	-7.377636e-02	1.057767e-01	3.627068e+03	6.331087e+02	6.269108e+02	4.855720e-01	4.838128e-01	4.844264e-01
0	nP550	0	0	2	1	0.080	-2.534939e-02	9.529358e-02	3.626859e+03	6.358251e+02	6.296014e+02	7.902507e-01	7.892113e-01	7.892711e-01
0	nP553	0	0	2	1	0.010	-2.829647e-01	2.992170e-01	3.627273e+03	6.304806e+02	6.243075e+02	3.444013e-01	3.429442e-01	3.441409e-01
0	nP555	0	0	2	1	0.360	-1.953450e-01	7.830282e-02	3.629870e+03	5.979044e+02	5.920506e+02	1.266917e-02	1.356210e-02	1.513757e-02
0	nP558	0	0	2	1	0.470	-4.831714e-02	9.304077e-02	3.626959e+03	6.345276e+02	6.283135e+02	6.035896e-01	6.019349e-01	6.022335e-01
0	nP563	0	0	2	1	0.010	-3.068175e-03	1.744527e-01	3.626823e+03	6.362781e+02	6.300600e+02	9.859694e-01	9.858912e-01	9.858926e-01
0	nP568	0	0	2	1	0.010	1.493927e-01	3.172244e-01	3.626935e+03	6.348410e+02	6.286242e+02	6.377268e-01	6.361506e-01	6.363845e-01
0	nP573	0	0	2	1	0.150	-9.304031e-02	1.199764e-01	3.627126e+03	6.323730e+02	6.261804e+02	4.381245e-01	4.364099e-01	4.371911e-01
0	nP576	0	0	2	1	0.030	-1.481311e-01	1.460815e-01	3.627340e+03	6.296098e+02	6.234473e+02	3.106662e-01	3.093652e-01	3.107391e-01
0	nP581	0	0	2	1	0.050	3.993864e-02	1.119879e-01	3.626887e+03	6.354583e+02	6.292363e+02	7.213964e-01	7.200814e-01	7.201996e-01
0	nP585	0	0	2	1	0.170	3.240567e-01	2.071599e-01	3.628044e+03	6.206171e+02	6.145388e+02	1.178779e-01	1.181631e-01	1.205903e-01
0	cM4	0	0	1	2	0.260	-1.005588e-01	1.015266e-01	3.627316e+03	6.299197e+02	6.237494e+02	3.220418e-01	3.206826e-01	3.219958e-01
0	cM6	0	0	2	1	0.020	1.663577e-01	1.903271e-01	3.627208e+03	6.313260e+02	6.251433e+02	3.821684e-01	3.805781e-01	3.815933e-01
0	cM8	0	0	2	1	0.480	3.680244e-01	9.840043e-02	3.633424e+03	5.560825e+02	5.506342e+02	1.881070e-04	2.796568e-04	4.484687e-04
0	cM11	0	0	2	1	0.220	1.467545e-01	1.189520e-01	3.627586e+03	6.264575e+02	6.203212e+02	2.174199e-01	2.167385e-01	2.186441e-01
0	cM14	0	0	2	1	0.020	9.136875e-02	1.040695e-01	3.627211e+03	6.312830e+02	6.251106e+02	3.800506e-01	3.784711e-01	3.794921e-01
0	cM17	0	0	2	1	0.040	-3.653019e-01	1.786772e-01	3.628891e+03	6.100040e+02	6.040242e+02	4.101084e-02	4.201616e-02	4.431583e-02
0	cM22	0	0	1	2	0.140	-2.534981e-01	1.062223e-01	3.629619e+03	6.009864e+02	5.951034e+02	1.708420e-02	1.804911e-02	1.981837e-02
0	cM23	0	0	1	2	0.140	1.254090e-02	9.532151e-02	3.626832e+03	6.361804e+02	6.299509e+02	8.953396e-01	8.948038e-01	8.948191e-01
0	cM29	0	0	1	2	0.340	-1.799265e-02	1.143251e-01	3.626836e+03	6.361327e+02	6.299018e+02	8.749569e-01	8.743164e-01	8.743371e-01
0	cM33	0	0	2	1	0.160	-2.003326e-01	9.161230e-02	3.629181e+03	6.063941e+02	6.004574e+02	2.885370e-02	2.988583e-02	3.198900e-02
0	cM38	0	0	1	2	0.440	1.870813e-01	9.028499e-02	3.628946e+03	6.093186e+02	6.033460e+02	3.835666e-02	3.937302e-02	4.163864e-02
0	cM40	0	0	2	1	0.040	-9.136681e-02	1.120105e-01	3.627158e+03	6.319581e+02	6.257710e+02	4.147501e-01	4.130778e-01	4.139525e-01
0	cM42	0	0	2	1	0.020	7.637318e-02	1.776320e-01	3.626917e+03	6.350845e+02	6.288649e+02	6.672678e-01	6.657747e-01	6.659610e-01
0	cM47	0	0	2	1	0.340	-3.323172e-02	8.681039e-02	3.626897e+03	6.353341e+02	6.291115e+02	7.018946e-01	7.005109e-01	7.006512e-01
